lims_code,description,most_common
CATTLE,Cattle,Yes
CHICKEN,Chicken,Yes
DUCK,Duck,Yes
GOAT,Goat,Yes
GOOSE,Goose,Yes
PIG,Pig,Yes
SHEEP,Sheep,Yes
TURKEY,Turkey,Yes
ALBATROSS,Albatross,
ALPACA,Alpaca,
ANTELOPE,Antelope,
AUK,Auk,
AV_FARMED,Avian Farmed,
AV_FARMED_G,Avian Farmed Game Birds,
AV_OTHER,Avian Other,
AV_OTHER_O,Avian Other Origin,
AV_PSIT,Avian Psittacine,
AV_WILD,Avian Wild,
AV_BIRDS,Aviary Birds,
AVOCET,Avocet,
BADGER,Badger,
BAT,Bat,
BEAR,Bear,
BEAVER,Beaver,
BIRD_OF_PREY,Bird of Prey,
BISON,Bison,
BITTERN,Bittern,
BOVINE_OTHER,Bovine Other,
BUDGERIGAR,Budgerigar,
BUFFALO,Buffalo,
BULBUL,Bulbul,
BUNTING,Bunting,
BUSTARD,Bustard,
BUZZARD,Buzzard,
CAMEL,Camel,
CANARY,Canary,
CARACAL,Caracal,
CASSOWARY,Cassowary,
CAT,Cat,
CHAT,Chat,
CHIPMUNK,Chipmunk,
COCKATIEL,Cockatiel,
COCKATOO,Cockatoo,
CONURE,Conure,
COOT,Coot,
CORMORANT,Cormorant,
CRAKE,Crake,
CRANE,Crane,
CRICKET,Cricket,
CROSSBILL,Crossbill,
CROW,Crow,
CUCKOO,Cuckoo,
CURLEW,Curlew,
DEER,Deer,
DIPPER,Dipper,
DIVER,Diver,
DOG,Dog,
DOLPHIN,Dolphin,
DOMESTIC_OTHER,Domestic Other,
EQ_DONKEY,Donkey,
DORMOUSE,Dormouse,
DOTTEREL,Dotterel,
DOVE,Dove,
DUNLIN,Dunlin,
DUNNOCK,Dunnock,
EAGLE,Eagle,
EGRET,Egret,
ELEPHANT,Elephant,
EMU,Emu,
ENVIRONMENTAL_ABATT,Environmental Abbattoir,
ENVIRONMENTAL_FARM,Environmental Farm,
ENVIRONMENTAL_OTHER,Environmental Other,
EXOTIC_OTHER,Exotic Other,
FALCON,Falcon,
FERRET,Ferret,
FINCH,Finch,
FISH,Fish,
FLAMINGO,Flamingo,
FLYCATCHER,Flycatcher,
FOX,Fox,
FRANCOLIN,Francolin,
FROG,Frog,
FULMAR,Fulmar,
GANNET,Gannet,
GIRAFFE,Giraffe,
GODWIT,Godwit,
GORILLA,Gorilla,
GREAT-BUSTARD,Great Bustard,
GREATER_BIRD_PARADIS,Greater Bird of Paradise,
GREBE,Grebe,
GROUSE,Grouse,
GUANACO,Guanaco,
GUILLEMOT,Guillemot,
GUINEA_FOWL,Guinea Fowl,
GULL,Gull,
HARE,Hare,
HARRIER,Harrier,
HAWK,Hawk,
HEDGEHOG,Hedgehog,
HERON,Heron,
HORNBILL,Hornbill,
EQ_HORSE,Horse,
HUMAN,Human,
HUMMINGBIRD,Hummingbird,
IBIS,Ibis,
INSECT,Insect,
KANGAROO,Kangaroo,
KINGFISHER,Kingfisher,
KITE,Kite,
KIWI,Kiwi,
KNOT,Knot,
LAPWING,Lapwing,
LARK,Lark,
LESSER_BIRD_PARA,Lesser Bird of Paradise,
LINNET,Linnet,
LIZARD,Lizard,
LLAMA,Llama,
LORIKEET,Lorikeet,
LORY,Lory,
LOVEBIRD,Lovebird,
MACAW,Macaw,
MAM_FARMED,Mammal Farmed,
MARTIN,Martin,
MINK,Mink,
MIXED_AVIAN_SPECIES,Mixed Avian Species,
MIXED_SPECIES,Mixed Species Submission,
MOLE,Mole,
MONGOOSE,Mongoose,
MONKEY,Monkey,
MOORHEN,Moorhen,
MOUSE,Mouse,
EQ_MULE,Mule,
MYNAH,Mynah,
NEWT,Newt,
NIGHTINGALE,Nightingale,
NIGHTJAR,Nightjar,
NONE,None,
NUTHATCH,Nuthatch,
ORIOLE,Oriole,
ORYX,Oryx,
OSTRICH,Ostrich,
OTHER,Other,
OTHER_BIRDS,Other Birds,
OTHER_CARNIVORE,Other Carnivore,
OTH_ENVIRONMENT,Other Environment,
OTH_FISH,Other Fish,
OTHER_MAMMAL,Other Mammal,
OTHER_RUMINANT,Other Ruminant,
OTHER_VEG_MINERAL,Other Vegetable/Mineral,
OTTER,Otter,
OWL,Owl,
OYSTERCATCHER,Oyster Catcher,
PARAKEET,Parakeet,
PARROT,Parrot,
PARTRIDGE,Partridge,
PEAFOWL,Peafowl,
PENGUIN,Penguin,
PETREL,Petrel,
PHALAROPE,Phalarope,
PHEASANT,Pheasant,
PIGEON,Pigeon,
PINE_MARTEN,Pine Marten,
PIPIT,Pipit,
PLOVER,Plover,
POLECAT,Polecat,
PORPOISE,Porpoise,
PUFFIN,Puffin,
QUAIL,Quail,
RABBIT,Rabbit,
RACCOON,Raccoon,
RAIL,Rail,
RAT,Rat,
RAZORBILL,Razorbill,
RED_BIRD_PARADISE,Red Bird of Paradise,
REDPOLL,Redpoll,
REDSHANK,Redshank,
REDSTART,Redstart,
REPTILE_AMPHIBIAN,Reptile/Amphibian,
ALL,Required for Generic use,
RHEA,Rhea,
RHINOCEROS,Rhinoceros,
ROBIN,Robin,
ROLLER,Roller,
RUFF,Ruff,
SANDERLING,Sanderling,
SANDPIPER,Sandpiper,
SEAL,Seal,
SHAG,Shag,
SHEARWATER,Shearwater,
SHREW,Shrew,
SHRIKE,Shrike,
SKUA,Skua,
SNAKE,Snake,
SNIPE,Snipe,
SPARROW,Sparrow,
SPOONBILL,Spoonbill,
SQUIRREL,Squirrel,
STARLING,Starling,
STINT,Stint,
STOAT,Stoat,
STORK,Stork,
SUNBIRD,Sunbird,
SWALLOW,Swallow,
SWAN,Swan,
SWIFT,Swift,
TERN,Tern,
TERRAPIN,Terrapin,
THRUSH,Thrush,
TIT,Tit,
TOAD,Toad,
TORTOISE,Tortoise,
TOUCAN,Toucan,
TURNSTONE,Turnstone,
TURTLE,Turtle,
UNKNOWN,Unknown,
UNSPECIFIED_BIRD,Unspecified Bird,
VICUNA,Vicuna,
VOLE,Vole,
VULTURE,Vulture,
WAGTAIL,Wagtail,
WALLABY,Wallaby,
WARBLER,Warbler,
WATERFOWL,Waterfowl,
WAXWING,Waxwing,
WEASEL,Weasel,
WHALE,Whale,
WHEATEAR,Wheatear,
WILD_BOAR,Wild Boar,
WILDCAT,Wildcat,
WOLF,Wolf,
WOODCOCK,Woodcock,
WOODPECKER,Woodpecker,
WREN,Wren,
ZEBRA,Zebra,
