species_lims_code,lims_code,description
ALBATROSS,BLACK_BROWED_ALBATROSS,Black Browed Albatross
ALPACA,ALPACA,Alpaca
ANTELOPE,BLACK_BUCK_ANTELOPE,Black Buck Antelope
ANTELOPE,LECHWE_ANTELOPE,Lechwe Antelope
ANTELOPE,LESSER_KUDU_ANTELOPE,Lesser Kudu Antelope
ANTELOPE,ROAN_ANTELOPE,Roan Antelope
ANTELOPE,SABLE_ANTELOPE,Sable Antelope
AUK,LITTLE_AUK,Little Auk
AVIAN_FARMED,ZZA_AV_FARMED_MIXED,Mixed Avian Farmed
AVIAN_FARMED,ZZB_AV_FARMED_UNLIST,Unlisted Avian Farmed
AVIAN_FARMED,ZZC_AV_FARMED_UNSPECIFIED,Unspec.Avian Farmed
AVIAN_FARMED_GAME_BIRDS,ZZA_AV_FARMED_G_MIXED,Mixed Avian Farmed Game Birds
AVIAN_FARMED_GAME_BIRDS,ZZB_AV_FARMED_G_UNLIST,Unlisted Avian Farmed Game Birds
AVIAN_FARMED_GAME_BIRDS,ZZC_AV_FARMED_G_UNSPECIFIED,Unspec.Avian Farmed Game Birds
AVIAN_OTHER,AV_OTHER,Other Avian
AVIAN_OTHER_ORIGIN,AV_OTHER_O,Avian Other Origin
AVIAN_PSITTACINE,AV_PSIT,Avian Psittacine
AVOCET,AVOCET,Avocet
BADGER,BADGER,Badger
BAT,BARBASTELLE_BAT,Barbastelle Bat
BAT,BECHSTEINS_BAT,Bechsteins Bat
BAT,BRANDTS_BAT,Brandts Bat
BAT,BROWN_LONG_EARED_BAT,Brown Long Eared Bat
BAT,DAUBENTONS_BAT,Daubentons Bat
BAT,FRUIT_BAT,Fruit Bat
BAT,GREATER_HORSESHOE_BAT,Greater Horseshoe Bat
BAT,GREY_LONG_EARED_BAT,Grey Long Eared Bat
BAT,LEISLERS_BAT,Leislers Bat
BAT,LESSER_HORSESHOE_BAT,Lesser Horseshoe Bat
BAT,LIVINGSTONE_BAT,Livingstone's Fruit Bat
BAT,ZZA_BAT_MIXED,Mixed Bat
BAT,MOUSE_EARED_BAT,Mouse Eared Bat
BAT,NATHUSIUS_PIPISTRELLE_BAT,Nathusius's Pipistrelle Bat
BAT,NOCTULE_BAT,Noctule Bat
BAT,PIPISTRELLE_BAT,Pipistrelle Bat
BAT,RODRIGUES_BAT,Rodrigues Fruit Bat
BAT,SEBAS_BAT,Sebas Bat
BAT,SEROTINE_BAT,Serotine Bat
BAT,SOPRANO_PIPISTRELLE_BAT,Soprano Pipistrelle Bat
BAT,ZZB_BAT_UNLIST,Unlisted Bat
BAT,ZZC_BAT_UNSPECIFIED,Unspec.Bat
BAT,WHISKERED_BAT,Whiskered Bat
BAT,WHISKERED_BRANDTS_BAT,Whiskered/Brandt's Bat
BEAR,BROWN_BEAR,Brown Bear
BEAVER,BEAVER,Beaver
BIRD_OF_PREY,BIRD_OF_PREY,Bird of Prey
BISON,BISON_CANADIAN,Canadian Bison
BISON,ZZC_BISON_UNSPECIFIED,Unspec.Bison
BITTERN,BITTERN,Bittern
BUDGERIGAR,BUDGERIGAR,Budgerigar
BUFFALO,CONGO_BUFFALO,Congo Buffalo
BUFFALO,ZZA_BUFFALO_MIXED,Mixed Buffalo
BUFFALO,ZZB_BUFFALO_UNLIST,Unlisted Buffalo
BUFFALO,ZZC_BUFFALO_UNSPECIFIED,Unspec.Buffalo
BUFFALO,WATER_BUFFALO,Water Buffalo
BULBUL,BULBUL,Bulbul
BUNTING,CIRL_BUNTING,Cirl Bunting
BUNTING,CORN_BUNTING,Corn Bunting
BUNTING,ZZA_BUNTING_MIXED,Mixed Bunting
BUNTING,REED_BUNTING,Reed Bunting
BUNTING,SNOW_BUNTING,Snow Bunting
BUNTING,ZZB_BUNTING_UNLIST,Unlisted Bunting
BUNTING,ZZC_BUNTING_UNSPECIFIED,Unspec.Bunting
BUNTING,YELLOWHAMMER,Yellowhammer
BUSTARD,GREAT_BUSTARD,Great Bustard
BUSTARD,HEUGLINS_BUSTARD,Heuglin's Bustard
BUSTARD,HOUBARA,Houbara
BUSTARD,KORI_BUSTARD,Kori Bustard
BUSTARD,LITTLE_BUSTARD,Little Bustard
BUSTARD,ZZA_BUSTARD_MIXED,Mixed Bustard
BUSTARD,ZZB_BUSTARD_UNLIST,Unlisted Bustard
BUSTARD,ZZC_BUSTARD_UNSPECIFIED,Unspec.Bustard
BUSTARD,WHITE_BELLIED_BUSTARD,White-bellied Bustard
BUZZARD,BUZZARD,Buzzard
BUZZARD,HONEY_BUZZARD,Honey Buzzard
BUZZARD,ZZA_BUZZARD_MIXED,Mixed Buzzard
BUZZARD,ZZB_BUZZARD_UNLIST,Unlisted Buzzard
BUZZARD,ZZC_BUZZARD_UNSPECIFIED,Unspec.Buzzard
CAMEL,BACTRIAN_CAMEL,Bactrian Camel
CAMEL,DROMEDARY_CAMEL,Dromedary Camel
CAMEL,ZZA_CAMEL_MIXED,Mixed Camel
CAMEL,ZZB_CAMEL_UNLIST,Unlisted Camel
CAMEL,ZZC_CAMEL_UNSPECIFIED,Unspec.Camel
CANARY,CANARY,Canary
CASSOWARY,CASUARIUS,Casuarius unappendiculatas
CAT,ABYSSINIAN,Abyssinian
CAT,AMERICAN_BOBTAIL,American Bobtail
CAT,AMERICAN_CURL,American Curl
CAT,AMERICAN_SHORTHAIR,American Shorthair
CAT,ANGORA_CAT,Angora Cat
CAT,ARABIAN_MAU_CAT,Arabian Mau Cat
CAT,ASIAN,Asian
CAT,AUSTRALIAN_MIST,Australian Mist Cat (Spotted Mist)
CAT,BALINESE,Balinese
CAT,BENGAL,Bengal
CAT,BIRMAN,Birman
CAT,BOMBAY,Bombay
CAT,BRITISH-BLUE,British Blue
CAT,BRITISH_LONGHAIR,British Longhair
CAT,BRITISH_SHORTHAIR,British Shorthair
CAT,BURMESE,Burmese
CAT,BURMESE-SHORT-HAIR,Burmese Short Hair
CAT,BURMILLA,Burmilla
CAT,CAUSIE,Causie
CAT,CHARTREUX,Chartreux
CAT,CHINCHILLA,Chinchilla
CAT,CHINCILLA,Cincilla
CAT,CORNISH_REX,Cornish Rex
CAT,DEVON_REX,Devon Rex
CAT,DOMESTIC-LONG-HAIR,Domestic Long Hair
CAT,DOMESTIC_MEDIUM_HAIR,Domestic Medium Hair Cat
CAT,DOMESTIC-SHORT-HAIR,Domestic Short Hair
CAT,DONSKOY,Donskoy
CAT,DRAGON_LI,Dragon Li
CAT,EGYPTIAN_MAU,Egyptian Mau
CAT,EUROPEAN,European
CAT,EXOTIC,Exotic
CAT,EXOTIC_SHORTHAIR,Exotic Shorthair
CAT,HIGHLAND_FOLD,Highland Fold Cat
CAT,HIMALAYAN,Himalayan
CAT,JAPANESE_BOBTAIL,Japanese Bobtail
CAT,KORAT,Korat
CAT,KURILIAN,Kurilian
CAT,LAPERM,Laperm
CAT,MAINE_COON,Maine Coon
CAT,MAINE_COON_CROSS,Maine Coon Cross
CAT,MANX,Manx
CAT,MINISKIN,Miniskin
CAT,ZZA_CAT_MIXED,Mixed Cat
